ionName,ionMASS,ionTYPE,ionCHG,ionScore,RT1,RT2
a,227.0854,F,1,38,600.01,1800.01
b,332.1387,F,1,38,600.01,1800.01
c,299.1127,F,1,12,600.01,1800.01
d,259.1223,F,1,12,600.01,1800.01
nl,331.1314,N,1,12,600.01,1800.01
